name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
Oncorhynchus clarkii stomias,Fishes,2,234074.740484429,1,15,1,2,1,0,15,1,-0.163825750489489,0.067747773481874
Balaena mysticetus,Mammals,2,846909.55017301,NA,9,2,2,1,NA,1,0,9.46637033704214,7.59087065806509
Gambusia georgei,Fishes,Extinct,6784.77508650519,1,2,3,2,2,1,43,0,-0.024061994331562,-0.0873411459244303
Plestiodon reynoldsi,Reptiles,2,13739.169550173,1,7,2,2,3,0,NA,1,-0.163825750489489,-0.0655380125682564
Lepidochelys kempii,Reptiles,1,3342349.82698962,3,2,3,2,2,1,2,0,-0.163825750489489,-0.122831986116968
Chasmistes liorus,Fishes,2,780249.134948097,1,5,3,1,2,1,5,0,0.021350401914196,-0.0581926083342029
Etheostoma nuchale,Fishes,1,16961.937716263,1,2,3,2,2,0,145,0,-0.0209258027657823,-0.0860520690359001
Rhinichthys osculus ssp. 3,Fishes,1,3392.3875432526,NA,9,2,2,1,0,9,0,-0.163825750489489,-0.10778166417075
Crotalus willardi obscurus,Reptiles,1,9668.3044982699,1,3,3,2,1,0,44,0,-0.163825750489489,-0.122831986116968
Brachyramphus marmoratus,Birds,3,4990710.93425606,2,3,3,2,1,0,3,0,1.47098881017304,1.36073597337512
Noturus trautmani,Fishes,Extinct,169.61937716263,1,5,3,1,2,0,28,0,-0.121748001272109,-0.104703509172922
Rhinichthys cobitis,Fishes,2,140444.844290657,1,4,3,1,3,1,9,1,-0.149218192601118,0.0243427695675767
Pseudemys alabamensis,Reptiles,1,44440.276816609,1,5,3,1,2,0,7,0,-0.163825750489489,-0.122831986116968
Hemignathus hanapepe,Birds,1,23407.4740484429,1,5,3,1,2,0,7,0,-0.163825750489489,-0.122831986116968
Rhinichthys osculus nevadensis,Fishes,1,22898.615916955,1,9,2,2,1,0,9,0,-0.0634637649971118,-0.0902417214397603
Numenius borealis,Birds,Prob. Extinct,29174.5328719723,3,5,3,1,2,0,8,0,0.460314675672656,0.236045412700393
Loxops ochraceus,Birds,Prob. Extinct,14248.0276816609,1,6,3,1,1,0,5,0,-0.163825750489489,-0.122831986116968
Charadrius nivosus nivosus,Birds,3,422182.629757785,4,3,3,2,1,1,31,0,-0.163825750489489,0.522951524424114
Peromyscus polionotus allophrys,Mammals,1,3392.3875432526,1,3,3,2,1,1,57,0,-0.163825750489489,-0.122831986116968
Myotis sodalis,Mammals,2,4660462.00692041,4,8,2,2,2,0,143,0,2.15552726365735,-0.100677219480207
Myadestes lanaiensis rutha,Birds,Prob. Extinct,14248.0276816609,1,6,3,1,1,0,12,1,-0.141073716782049,-0.109588073227827
Pterodroma sandwichensis,Birds,2,95156.4705882353,1,3,3,2,1,0,34,1,-0.163825750489489,-0.105095447489402
Rallus obsoletus,Birds,1,375198.062283737,1,3,3,2,1,1,9,0,-0.163825750489489,-0.122831986116968
Somateria fischeri,Birds,2,766170.726643599,1,5,3,1,2,0,3,0,0.056186291922392,-0.00562591242752805
Corynorhinus townsendii virginianus,Mammals,4,164870.034602076,2,9,2,2,1,0,3,0,-0.163825750489489,-0.122831986116968
Anas wyvilliana,Birds,1,312947.750865052,1,2,3,2,2,0,44,0,0.13496829485881,-0.0269725361389263
Artemisiospiza belli clementeae,Birds,1,307180.692041522,1,9,2,2,1,0,2,0,-0.163825750489489,-0.111100946618305
Himantopus mexicanus knudseni,Birds,2,1743687.19723183,1,9,2,2,1,0,5,0,-0.0504383332191333,-0.0535020159002028
Oncorhynchus gilae,Fishes,1,51733.9100346021,1,2,3,2,2,0,15,1,0.0424302797112397,0.0992646982740394
Loxioides bailleui,Birds,1,46984.5674740484,1,1,3,2,3,0,1,0,0.0830688932369199,0.42300307875482
Catostomus warnerensis,Fishes,1,245269.619377163,2,2,3,2,2,1,26,0,0.0117026572131938,-0.0683197774360854
Gasterosteus aculeatus williamsoni,Fishes,1,79721.107266436,1,3,3,2,1,0,2,0,0.0602602748071917,-0.0577505018437493
Dipodomys nitratoides exilis,Mammals,1,239163.321799308,1,3,3,2,1,1,20,0,-0.0287476527038115,-0.0271662221130016
Gila nigrescens,Fishes,1,53260.4844290657,1,2,3,2,2,0,20,0,-0.0498090137175042,-0.0937150890911894
Physeter macrocephalus,Mammals,UNK,18827.7508650519,NA,7,2,2,3,NA,1,0,3.74232195669375,4.41374910774517
Strix occidentalis lucida,Birds,3,3873597.71626298,2,9,2,2,1,1,22,0,0.182258172578632,0.323600143309893
Percina tanasi,Fishes,2,9498.68512110727,1,11,2,1,2,0,49,1,0.0303148145264893,0.614566331334465
Gambelia sila,Reptiles,1,287844.083044983,1,2,3,2,2,1,6,0,-0.163825750489489,-0.122831986116968
Puma concolor coryi,Mammals,1,3685659.44636678,1,6,3,1,1,1,2,1,-0.159957747604466,1.40846057263409
Gymnogyps californianus,Birds,1,2580419.58477509,3,4,3,1,3,1,1,0,1.45620707219272,1.42818127109701
Psittirostra psittacea,Birds,1,61402.214532872,1,4,3,1,3,0,1,0,-0.163825750489489,-0.122831986116968
Peromyscus polionotus ammobates,Mammals,1,8480.96885813149,1,3,3,2,1,1,57,0,-0.163825750489489,-0.122831986116968
Vulpes macrotis mutica,Mammals,2,1628176.40138408,1,3,3,2,1,1,12,0,-0.163825750489489,-0.122831986116968
Catostomus microps,Fishes,2,33923.875432526,NA,5,3,1,2,0,26,0,0.0181331483924149,-0.0151603768639921
Odocoileus virginianus clavium,Mammals,1,838767.820069204,1,6,3,1,1,1,2,0,0.101401246384714,0.632046377066833
Sternula antillarum,Birds,4,1303016.05536332,4,3,3,2,1,1,7,0,-0.163825750489489,2.18258392655553
Etheostoma wapiti,Fishes,1,84300.830449827,1,5,3,1,2,0,145,0,-0.0524211359721578,-0.0477501289519742
Colinus virginianus ridgwayi,Birds,1,1219224.08304498,1,6,3,1,1,0,4,0,0.149022023415011,0.0649025914408683
Plethodon nettingi,Amphibians,2,154353.633217993,1,8,2,2,2,0,59,0,0.0457073781704705,-0.0596390223925797
Anaxyrus baxteri,Amphibians,1,162325.743944637,1,3,3,2,1,0,24,1,-0.163825750489489,-0.0464005491975716
Glaucomys sabrinus coloratus,Mammals,1,4579.723183391,2,6,3,1,1,1,2,0,0.0268529820844913,-0.101927550462011
Oncorhynchus clarkii henshawi,Fishes,3,3637148.30449827,3,9,2,2,1,0,15,1,-0.163825750489489,0.658874817909384
Oncorhynchus apache,Fishes,3,960215.294117647,1,8,2,2,2,0,15,0,0.0726287112915857,0.080773324139891
Fulica alai,Birds,2,365190.519031142,1,15,1,2,1,0,11,1,-0.158272958078778,-0.120311404931446
Ursus americanus luteolus,Mammals,2,362137.370242215,NA,9,2,2,1,0,4,0,-0.0230927779731497,0.0151744462099195
Gila purpurea,Fishes,1,73784.4290657439,1,8,2,2,2,0,20,0,-0.074438914465906,-0.0952606666925584
Sciurus niger cinereus,Mammals,3,130946.15916955,NA,9,2,2,1,0,28,0,0.127389600523401,-0.0355266188718532
Caracara cheriway,Birds,4,260874.602076125,1,12,2,1,1,0,3,0,-0.108172645663232,0.0485906173701141
Balaenoptera musculus,Mammals,1,6954.39446366782,NA,7,2,2,3,NA,9,0,2.55868679029224,2.09640660926076
Anas laysanensis,Birds,1,110252.595155709,1,8,2,2,2,0,44,0,0.0874250114255258,-0.0634216985677273
Tamiasciurus hudsonicus grahamensis,Mammals,1,284960.553633218,1,9,2,2,1,1,3,0,-0.163825750489489,-0.122831986116968
Microtus californicus scirpensis,Mammals,1,5088.58131487889,1,6,3,1,1,0,62,0,-0.0795885815533842,-0.0867515858982805
Plethodon shenandoah,Amphibians,1,7124.01384083045,1,8,2,2,2,0,59,0,-0.0582556067497829,-0.0871275619456954
Lepidomeda albivallis,Fishes,1,71748.9965397924,1,2,3,2,2,1,5,0,-0.0905635000198864,-0.0931744618352278
Troglichthys rosae,Fishes,3,150113.148788927,3,8,2,2,2,0,NA,0,-0.163825750489489,-0.0421186360410659
Lasiurus cinereus semotus,Mammals,2,73275.5709342561,1,9,2,2,1,0,17,0,0.0181491035982481,-0.0804741351218374
Gopherus agassizii,Reptiles,3,26278621.2456747,3,8,2,2,2,1,6,0,-0.163825750489489,-0.122831986116968
Microtus mogollonensis hualpaiensis,Mammals,1,135695.501730104,NA,3,3,2,1,0,62,0,-0.163825750489489,-0.102443952504248
Mustela nigripes,Mammals,1,3467868.16608997,2,2,3,2,2,0,18,0,-0.163825750489489,-0.122831986116968
Neomonachus schauinslandi,Mammals,2,3671750.65743945,NA,1,3,2,3,NA,2,1,-0.163825750489489,0.526590894654373
Glaucomys sabrinus fuscus,Mammals,2,295137.716262976,NA,9,2,2,1,0,2,0,0.00341430624087556,-0.0994948537506645
Ammodramus savannarum floridanus,Birds,1,188277.508650519,1,9,2,2,1,0,9,0,-0.0863184521252328,-0.086524466826379
Drymarchon couperi,Reptiles,3,86505.8823529412,1,12,2,1,1,1,6,0,-0.163825750489489,0.0772163410670184
Gila robusta jordani,Fishes,1,49020,1,3,3,2,1,0,20,0,-0.163825750489489,-0.122831986116968
Reithrodontomys raviventris,Mammals,1,247644.290657439,1,2,3,2,2,1,18,0,-0.163825750489489,-0.122831986116968
Noturus flavipinnis,Fishes,1,58009.8269896194,2,11,2,1,2,0,28,0,0.0597199237056389,-0.0626016344307053
Eremichthys acros,Fishes,1,5936.67820069204,1,7,2,2,3,1,1,0,-0.0845176111867024,-0.0932840758202601
Percina aurolineata,Fishes,2,53430.1038062284,1,8,2,2,2,0,49,0,0.0894808186451025,-0.0875656315471904
Melamprosops phaeosoma,Birds,1,14248.0276816609,1,4,3,1,3,0,1,0,-0.0579029114369509,-0.102580869272098
Setophaga kirtlandii,Birds,3,1422936.9550173,2,2,3,2,2,1,37,0,-0.163825750489489,-0.122831986116968
Gambusia heterochir,Fishes,1,3392.3875432526,1,2,3,2,2,0,43,0,-0.0235956506772621,-0.0963873185975402
Cyprinodon nevadensis pectoralis,Fishes,1,3392.3875432526,1,9,2,2,1,0,44,0,-0.163825750489489,-0.122831986116968
Tympanuchus cupido attwateri,Birds,1,869808.166089965,1,3,3,2,1,0,3,0,-0.163825750489489,-0.122831986116968
Plagopterus argentissimus,Fishes,1,213041.937716263,3,1,3,2,3,1,1,0,0.181027894631898,0.070983717890039
Cyprinodon nevadensis mionectes,Fishes,2,28835.2941176471,1,9,2,2,1,0,44,0,-0.0821350515771376,-0.117804986630358
Eretmochelys imbricata,Reptiles,1,1305221.10726644,4,1,3,2,3,1,1,0,4.50611205569547,-1.8439822640754e-4
Telespiza ultima,Birds,1,50885.8131487889,1,8,2,2,2,0,2,0,-0.163825750489489,-0.102776663615171
Balaenoptera borealis,Mammals,2,23068.2352941176,NA,3,3,2,1,NA,9,0,1.78643750250988,0.485537180210936
Gila cypha,Fishes,1,4593462.35294118,3,2,3,2,2,1,20,0,0.615939090720285,0.338539091566029
Ursus arctos horribilis,Mammals,3,11235078.6851211,3,3,3,2,1,1,4,0,1.04645529182118,9.78947826159537
Percina rex,Fishes,1,97361.5224913495,2,5,3,1,2,1,49,0,0.00818790201942631,-0.0561147730270512
Noturus stanauli,Fishes,1,5088.58131487889,1,5,3,1,2,0,28,0,-0.0452291259595682,-0.112326038415145
Campephilus principalis,Birds,1,3053.14878892734,1,18,1,1,1,0,11,0,-0.163825750489489,-0.122831986116968
Hemignathus wilsoni,Birds,1,297003.529411765,1,2,3,2,2,0,7,0,-0.13839825119326,-0.08201446502286
Gila seminuda,Fishes,1,128401.868512111,3,3,3,2,1,1,20,0,-0.135061289918887,-0.0729638473423796
Sorex longirostris fisheri,Mammals,2,70900.8996539792,NA,9,2,2,1,0,77,0,-0.0283947431402251,-0.0938494410234083
Sterna dougallii dougallii,Birds,3,145363.806228374,2,3,3,2,1,0,13,0,-0.0710544099355491,0.443277933826244
Deltistes luxatus,Fishes,1,1617490.38062284,2,1,3,2,3,1,1,0,0.078906122136648,-0.021734542548744
Grus americana,Birds,1,5731777.99307959,4,2,3,2,2,1,10,0,2.73011286320361,2.55685472713301
Scaphirhynchus albus,Fishes,2,2034923.66782007,3,2,3,2,2,1,5,0,0.2496061297876,0.177121752074089
Trichechus manatus,Mammals,2,3164758.33910035,2,5,3,1,2,1,3,0,5.0782382805428,0.332979530653919
Meda fulgida,Fishes,2,133490.44982699,1,4,3,1,3,1,1,0,0.346180555951767,0.044425113907486
Etheostoma rubrum,Fishes,1,15435.3633217993,1,8,2,2,2,1,145,0,0.0748605324037547,-0.0733844784963057
Crenichthys baileyi baileyi,Fishes,1,11873.3564013841,1,3,3,2,1,1,2,1,-0.0458244871389015,-0.0462644879855353
Hypomesus transpacificus,Fishes,1,652016.885813149,1,2,3,2,2,1,6,0,0.408811877817525,0.587338671931447
Cyprinodon elegans,Fishes,1,142819.515570934,1,2,3,2,2,0,44,0,0.0186999314490849,-0.0919864114539633
Lepidomeda mollispinis pratensis,Fishes,1,22898.615916955,1,12,2,1,1,0,5,0,-0.0520998041825682,-0.0931151637804869
Myadestes palmeri,Birds,1,6954.39446366782,1,5,3,1,2,0,12,0,-0.109184390937201,-0.104591910732845
Empetrichthys latos,Fishes,1,39012.4567474048,1,8,2,2,2,0,2,0,-0.0250409108154654,-0.105465701095017
Balaenoptera physalus,Mammals,2,24764.4290657439,NA,7,2,2,3,NA,9,0,6.15253740966721,1.24493065614756
Aphelocoma coerulescens,Birds,2,774821.314878893,1,3,3,2,1,1,9,0,-0.163825750489489,-0.122831986116968
Dipodomys stephensi,Mammals,2,657275.08650519,1,2,3,2,2,1,20,0,-0.163825750489489,-0.122831986116968
Ambystoma macrodactylum croceum,Amphibians,1,69374.3252595156,1,3,3,2,1,0,33,0,-0.163825750489489,-0.122831986116968
Dryobates borealis,Birds,3,15127334.532872,4,8,2,2,2,1,13,0,-0.163825750489489,-0.122831986116968
Siphateles bicolor snyderi,Fishes,1,43252.9411764706,1,6,3,1,1,1,3,1,-0.163825750489489,-0.0116793262302025
Notropis simus pecosensis,Fishes,2,711553.287197232,1,3,3,2,1,0,88,0,-0.0710468987714469,-0.103858333817945
Uma inornata,Reptiles,1,182340.830449827,1,2,3,2,2,1,7,0,-0.163825750489489,-0.122831986116968
Dipodomys nitratoides nitratoides,Mammals,1,196080,1,3,3,2,1,1,20,0,0.224019695424535,-0.00798390721394525
Telespiza cantans,Birds,1,59366.7820069204,1,8,2,2,2,0,2,0,-0.102147796197842,-0.0745081920641093
Ammospiza maritima mirabilis,Birds,1,8480.96885813149,1,12,2,1,1,1,9,0,-0.128462014472733,-0.0836948132762751
Graptemys flavimaculata,Reptiles,2,47154.1868512111,1,14,1,2,2,0,14,0,-0.163825750489489,-0.122831986116968
Oncorhynchus mykiss whitei,Fishes,2,104315.916955017,1,9,2,2,1,0,15,1,-0.161936461152385,-0.0249426144814632
Phaeognathus hubrichti,Amphibians,2,4240.48442906574,1,7,2,2,3,0,1,0,0.0317970457298594,-0.0627893038638671
Nerodia paucimaculata,Reptiles,2,18827.7508650519,NA,9,2,2,1,1,10,0,-0.163825750489489,-0.122831986116968
Puma concolor couguar,Mammals,Extinct,32227.6816608997,NA,18,1,1,1,0,2,1,-0.160047171815281,0.0314418894919779
Noturus placidus,Fishes,2,365699.37716263,3,11,2,1,2,1,28,0,0.0150609423499571,-0.0112568355736895
Dermochelys coriacea,Reptiles,2,1743687.19723183,5,7,2,2,3,0,1,0,6.2145505059129,0.045574568460557
Anaxyrus houstonensis,Amphibians,1,82265.3979238754,1,5,3,1,2,1,24,1,-0.163825750489489,-0.0519047717627147
Gambusia nobilis,Fishes,2,149095.432525952,1,2,3,2,2,0,43,0,0.124975542392911,-0.0697831996255545
Lanius ludovicianus mearnsi,Birds,1,807557.85467128,1,9,2,2,1,0,29,0,-0.0856314796036957,-0.101074320757832
Loxops mana,Birds,2,297003.529411765,1,8,2,2,2,0,5,1,-0.163825750489489,-0.105959753248909
Cyprinodon bovinus,Fishes,1,44949.1349480969,1,2,3,2,2,0,44,0,-0.0416824764018253,-0.0866519575806073
Dipodomys ingens,Mammals,2,274953.010380623,1,2,3,2,2,1,20,0,0.46535732887206,0.135807216560004
Cottus paulus,Fishes,1,6784.77508650519,1,8,2,2,2,0,73,1,-0.163825750489489,-0.0762569118852369
Crenichthys nevadae,Fishes,2,21202.4221453287,1,2,3,2,2,1,2,0,0.00712663328884013,-0.07786895944897
Eurycea rathbuni,Amphibians,1,4749.34256055363,1,5,3,1,2,0,32,1,-0.163825750489489,-0.094566859925296
Polioptila californica californica,Birds,2,1574915.91695502,1,3,3,2,1,1,14,0,-0.0620048467252262,-0.106292413213414
Enhydra lutris nereis,Mammals,2,1435658.4083045,1,9,2,2,1,1,1,0,0.348227845648078,0.23763441079779
Palmeria dolei,Birds,1,367565.190311419,1,7,2,2,3,0,5,0,-0.0057097251543609,-0.0969348490188647
Plestiodon egregius lividus,Reptiles,2,169.61937716263,1,9,2,2,1,0,NA,0,-0.163825750489489,-0.122831986116968
Leopardus pardalis,Mammals,1,248831.626297578,1,5,3,1,2,0,10,0,-0.0698402638600209,1.71581254769326
Noturus baileyi,Fishes,1,57331.3494809689,1,5,3,1,2,0,28,0,0.0564245179276585,-0.0521999018099873
Buteo solitarius,Birds,2,162834.602076125,1,14,1,2,2,0,30,0,0.0761500474464424,-0.0546119491864712
Rhinichthys osculus thermalis,Fishes,1,27139.1003460208,1,12,2,1,1,0,9,0,-0.0596751263912829,-0.0770344112839754
Siphateles bicolor mohavensis,Fishes,1,13569.5501730104,1,6,3,1,1,1,3,1,-0.163825750489489,-0.0777978084066413
Vireo bellii pusillus,Birds,2,4885207.6816609,1,3,3,2,1,1,32,0,-0.163825750489489,-0.122831986116968
Ptychocheilus lucius,Fishes,1,4698456.74740484,3,2,3,2,2,1,4,0,1.66518651806127,-0.120982348442259
Notropis mekistocholas,Fishes,1,51055.4325259516,1,5,3,1,2,0,88,0,-0.0301232230683135,-0.084659985512167
Sternula antillarum browni,Birds,2,1035187.05882353,2,3,3,2,1,1,7,1,-0.163825750489489,0.48126677652733
Corvus hawaiiensis,Birds,Extinct,2677272.24913495,1,2,3,2,2,0,48,0,0.198679174473904,-0.00378788367708624
Acipenser oxyrinchus desotoi,Fishes,2,446607.820069204,1,12,2,1,1,0,21,0,-0.157661933085899,0.147863035003495
Leptonycteris nivalis,Mammals,2,38842.8373702422,1,5,3,1,2,0,3,0,-0.163825750489489,-0.122831986116968
Dipodomys heermanni morroensis,Mammals,1,70392.0415224913,1,6,3,1,1,1,20,0,0.0277581909595832,0.00237453926745064
Cynomys parvidens,Mammals,2,72257.8546712803,1,14,1,2,2,0,5,0,0.056866664478996,0.0152583291908806
Rallus obsoletus yumanensis,Birds,3,515982.14532872,2,6,3,1,1,0,9,0,-0.163825750489489,-0.122831986116968
Xyrauchen texanus,Fishes,1,5118773.56401384,3,5,3,1,2,1,1,0,1.65272348888334,0.458743504624135
Eschrichtius robustus,Mammals,4,848.096885813149,NA,NA,NA,NA,NA,NA,1,0,5.1990519109282,2.43892110136321
Puffinus newelli,Birds,2,39860.553633218,1,8,2,2,2,0,32,0,-0.163825750489489,-0.122831986116968
Oryzomys palustris argentatus,Mammals,2,8480.96885813149,1,9,2,2,1,1,12,0,-0.163825750489489,-0.122831986116968
Eumetopias jubatus,Mammals,3,2989032.66435986,NA,7,2,2,3,NA,1,0,4.79108203578265,0.678858899480396
Lepidomeda vittata,Fishes,1,6733889.2733564,1,2,3,2,2,0,5,0,-0.039130373216149,-0.0898913433089956
Haliaeetus leucocephalus,Birds,5,18653891.0034602,NA,6,3,1,1,1,8,0,7.99665199290179,15.2820234408128
Rallus obsoletus levipes,Birds,1,379947.404844291,1,2,3,2,2,0,9,0,-0.163825750489489,-0.122831986116968
Cyprinodon radiosus,Fishes,1,17810.0346020761,1,5,3,1,2,0,44,0,0.013074234799507,-0.049561096732823
Corynorhinus townsendii ingens,Mammals,1,177421.868512111,3,3,3,2,1,0,3,0,-0.163825750489489,-0.122831986116968
Strix occidentalis caurina,Birds,3,28979809.8269896,2,9,2,2,1,1,22,0,1.45148131824167,6.79803029121241
Etheostoma okaloosae,Fishes,2,880324.567474048,1,11,2,1,2,0,145,0,-0.027453225096844,-0.0552666954085542
Loxops coccineus,Birds,1,269864.429065744,1,9,2,2,1,0,5,0,-0.163825750489489,-0.122831986116968
Aplodontia rufa nigra,Mammals,1,6784.77508650519,1,3,3,2,1,0,1,0,-0.073274331825454,-0.0830213958856441
Myotis grisescens,Mammals,3,915435.778546713,5,8,2,2,2,0,143,0,1.12360420751453,-0.104233360613233
Chelonia mydas,Reptiles,3,4864514.11764706,5,1,3,2,3,1,1,0,13.467628466548,0.481065903024772
Antilocapra americana sonoriensis,Mammals,1,124331.003460208,1,3,3,2,1,0,1,0,-0.0704292667751732,-0.04223470161446
Setophaga chrysoparia,Birds,2,3364739.58477509,1,2,3,2,2,1,37,0,-0.163825750489489,-0.122831986116968
Percina jenkinsi,Fishes,1,33923.875432526,1,5,3,1,2,0,49,1,-0.0466114982928364,-0.0816720478334566
Herpailurus yagouaroundi cacomitli,Mammals,1,113305.743944637,1,6,3,1,1,0,2,0,-0.163825750489489,-0.122831986116968
Neotoma floridana smalli,Mammals,1,48680.7612456747,1,3,3,2,1,1,23,0,-0.0203998413755546,-0.0823611825788339
Rangifer tarandus caribou,Mammals,1,302770.588235294,2,3,3,2,1,1,1,0,1.14819046093592,0.779046657190063
Acipenser brevirostrum,Fishes,3,769902.352941177,NA,2,3,2,2,1,21,0,1.40137188271367,0.408108927592038
Etheostoma fonticola,Fishes,1,220505.190311419,1,2,3,2,2,1,145,0,0.0361563374197865,-0.0759898748805335
Peromyscus polionotus trissyllepsis,Mammals,1,12042.9757785467,1,3,3,2,1,1,57,0,-0.163825750489489,-0.122831986116968
Falco peregrinus anatum,Birds,3,7554507.82006921,NA,9,2,2,1,0,39,0,1.40067234611684,0.433646269387478
Antigone canadensis pulla,Birds,1,2370600.41522491,1,6,3,1,1,1,NA,1,-0.163825750489489,0.0870232124204899
Oncorhynchus clarkii seleniris,Fishes,2,122974.048442907,1,9,2,2,1,0,15,0,-0.163825750489489,-0.0166920066382007
Gopherus polyphemus,Reptiles,3,457802.698961938,1,9,2,2,1,0,6,0,2.35354979853969,0.770266964089166
Canis lupus,Mammals,4,8090844.29065744,5,3,3,2,1,1,8,0,11.245229595234,2.9638652200799
Caretta caretta,Reptiles,3,4446741.5916955,5,7,2,2,3,1,1,0,13.2436467188673,0.299747138582654
Gambusia gaigei,Fishes,1,47154.1868512111,1,2,3,2,2,0,43,0,0.0117785802480078,-0.0870881915507286
Peromyscus polionotus phasma,Mammals,1,8480.96885813149,1,6,3,1,1,1,57,0,-0.163825750489489,-0.122831986116968
Siphateles boraxobius,Fishes,1,128910.726643599,1,5,3,1,2,0,3,0,-0.163825750489489,-0.0913248585898752
Vireo atricapilla,Birds,2,3557087.95847751,NA,2,3,2,2,1,32,0,-0.163825750489489,-0.122831986116968
Pseudonestor xanthophrys,Birds,1,347210.865051903,1,1,3,2,3,0,1,0,-0.163825750489489,-0.122831986116968
Cyprinella formosa,Fishes,1,41556.7474048443,1,2,3,2,2,0,33,0,-0.0987674204287411,-0.0818309149244896
Batrachoseps major aridus,Amphibians,1,13569.5501730104,1,8,2,2,2,0,21,1,-0.163825750489489,-0.0918888085546251
Notropis cahabae,Fishes,2,63607.2664359862,1,2,3,2,2,0,88,0,-0.0284496653780121,-0.0684426592288171
Gila ditaenia,Fishes,1,76837.5778546713,1,11,2,1,2,0,20,0,-0.0243788410729965,-0.0604919701135468
Gila elegans,Fishes,1,1616642.28373702,3,5,3,1,2,1,20,0,0.596710269339879,0.282117696356511
Megaptera novaeangliae,Mammals,3,838089.342560554,NA,3,3,2,1,NA,1,0,8.96008793690266,2.15491182794694
Moapa coriacea,Fishes,1,97022.2837370242,1,1,3,2,3,0,1,0,-0.0700283937594783,-0.0758066901054761
Sylvilagus palustris hefneri,Mammals,1,552111.07266436,1,6,3,1,1,1,23,0,-0.073524040657628,-0.108655478851269
Cyprinodon macularius,Fishes,1,201507.820069204,2,5,3,1,2,0,44,0,1.05459543152593,0.205906439255571
Speoplatyrhinus poulsoni,Fishes,1,169.61937716263,1,1,3,2,3,0,1,0,-0.0559230500568026,-0.0869183475816843
Graptemys oculifera,Reptiles,2,2374.67128027682,1,14,1,2,2,0,14,0,0.0989125456562447,-0.121632493967622
Etheostoma sellare,Fishes,Prob. Extinct,18658.1314878893,1,5,3,1,2,0,145,0,-0.0670888117494998,-0.0887424243509414
Sternotherus depressus,Reptiles,2,11873.3564013841,1,14,1,2,2,0,4,0,0.394849386438936,-0.00387521259385288
Notropis albizonatus,Fishes,1,27817.5778546713,1,5,3,1,2,0,88,0,-0.158282195918147,-0.107971862106258
Erimonax monachus,Fishes,2,33245.3979238754,2,11,2,1,2,0,1,1,-0.163825750489489,-0.0661541437065148
Paroreomyza flammea,Birds,Prob. Extinct,14248.0276816609,1,5,3,1,2,0,3,0,-0.139969544830547,-0.111443126422558
Mycteria americana,Birds,3,329570.44982699,1,6,3,1,1,1,4,0,1.7644734307117,0.739318790447813
Percina antesella,Fishes,1,36468.1660899654,1,5,3,1,2,0,49,0,0.00355807328336303,-0.078141017875114
Crenichthys baileyi grandis,Fishes,1,10177.1626297578,1,3,3,2,1,1,2,1,-0.0820728360860027,-0.103587408012346
Etheostoma nianguae,Fishes,2,80908.4429065744,1,8,2,2,2,0,145,0,-0.00401319815024356,-0.0644426104033203
Cyprinella caerulea,Fishes,2,40030.1730103806,1,8,2,2,2,0,33,0,-0.0478530253895713,-0.0881413046285906
Charadrius melodus,Birds,3,3275689.41176471,5,2,3,2,2,1,31,0,2.68019413787489,2.04485604233613
Chasmistes cujus,Fishes,1,2607219.44636678,1,2,3,2,2,1,5,0,-0.163825750489489,-0.122831986116968
Crocodylus acutus,Reptiles,2,11025.2595155709,1,2,3,2,2,1,14,0,1.72343267935887,0.232386537309195
Myadestes myadestinus,Birds,Prob. Extinct,6954.39446366782,1,5,3,1,2,0,12,1,-0.127252126525375,-0.0662451799596871
Falco femoralis septentrionalis,Birds,1,228477.301038062,1,3,3,2,1,0,39,0,-0.0128891356178109,-0.077167655952503
Percina pantherina,Fishes,2,88710.9342560554,2,11,2,1,2,1,49,0,0.238598812299465,-0.0376942136323904
Thamnophis sirtalis tetrataenia,Reptiles,2,32227.6816608997,1,3,3,2,1,1,35,0,-0.163825750489489,-0.122831986116968
Erimystax cahni,Fishes,1,13908.7889273356,2,11,2,1,2,0,5,1,-0.152726973549139,-0.0931949088489392
Gallinula galeata sandvicensis,Birds,2,355013.356401384,1,9,2,2,1,0,9,0,-0.163825750489489,-0.122831986116968
Branta sandvicensis,Birds,1,817226.15916955,1,2,3,2,2,0,7,0,0.360431379154505,0.0855192844317345
Lepidochelys olivacea,Reptiles,1,56822.491349481,2,8,2,2,2,NA,2,0,2.46619643453526,5.4370919500766e-4
Cyprinodon diabolis,Fishes,1,92442.5605536332,1,8,2,2,2,0,44,0,-0.163825750489489,-0.122831986116968
Akialoa ellisiana,Birds,Extinct,6954.39446366782,1,5,3,1,2,0,4,0,-0.163825750489489,-0.122831986116968
Leptonycteris yerbabuenae,Mammals,2,190482.560553633,NA,8,2,2,2,0,3,0,-0.163825750489489,-0.122831986116968
Odocoileus virginianus leucurus,Mammals,2,416415.570934256,1,15,1,2,1,0,2,0,-0.163825750489489,-0.122831986116968
Vermivora bachmanii,Birds,Prob. Extinct,4240.48442906574,1,5,3,1,2,0,5,0,-0.163825750489489,-0.122831986116968
Eurycea nana,Amphibians,1,5767.05882352941,1,2,3,2,2,1,32,0,-0.0283684040927933,-0.0911915110082934
