name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
Chamaesyce skottsbergii var. skottsbergii,Plants,2,8276.411,1,6,3,1,1,0,1982,0,-0.1638258,-0.122832
Pediocactus knowltonii,Plants,1,16538.63,2,2,3,2,2,0,9,0,-0.06841606,-0.102293
Dalea foliosa,Plants,2,47382.45,2,5,3,1,2,0,61,0,-0.1638258,-0.122832
Chamaesyce garberi,Plants,1,82527.64,1,8,2,2,2,0,1982,0,-0.1200463,-0.1148458
Orcuttia inaequalis,Plants,1,26129.81,1,8,2,2,2,0,5,0,-0.06470239,-0.1106553
Fritillaria gentneri,Plants,1,415202.7,2,2,3,2,2,0,123,0,-0.09586638,-0.1140231
Clermontia oblongifolia ssp. brevipes,Plants,1,709.4067,1,6,3,1,1,0,23,0,-0.1638258,-0.122832
Echinocereus fendleri var. kuenzleri,Plants,2,148857.2,1,12,2,1,1,1,67,0,-0.1638258,-0.1207105
Echinocereus reichenbachii var. albertii,Plants,1,18917.51,1,3,3,2,1,0,67,0,-0.1638258,-0.1093812
Platanthera holochila,Plants,1,7057.414,1,5,3,1,2,0,85,0,-0.1638258,-0.122832
Limnanthes floccosa ssp. grandiflora,Plants,1,53581.48,1,3,3,2,1,1,7,0,-0.1638258,-0.122832
Escobaria robbinsiorum,Plants,1,21104.85,1,8,2,2,2,0,17,0,-0.1638258,-0.1179431
Castilleja grisea,Plants,3,48615.64,1,14,1,2,2,0,108,0,-0.1638258,-0.122832
Aeschynomene virginica,Plants,2,18036.66,2,2,3,2,2,0,61,0,-0.1638258,-0.122832
Astragalus albens,Plants,1,42000.42,1,2,3,2,2,1,431,0,-0.1638258,-0.122832
Platanthera praeclara,Plants,3,240683.9,2,8,2,2,2,1,85,0,-0.1638258,-0.122832
Arctomecon humilis,Plants,1,908631.7,1,5,3,1,2,1,3,0,-0.1638258,-0.122832
Isoetes melanospora,Plants,1,2955.861,1,5,3,1,2,0,121,0,-0.1638258,-0.122832
Astragalus desereticus,Plants,1,50249.64,NA,14,1,2,2,0,431,0,-0.1101039,-0.1145922
Solidago spithamaea,Plants,2,5911.722,1,8,2,2,2,0,89,1,-0.07675086,-0.1141639
Polygonella basiramia,Plants,3,66093.05,1,2,3,2,2,0,11,0,-0.04322806,-0.08682189
Abronia macrocarpa,Plants,2,22204.43,1,2,3,2,2,0,27,0,-0.1638258,-0.122832
Conradina glabra,Plants,1,30740.96,1,8,2,2,2,0,6,0,-0.1638258,-0.122832
Chamaesyce celastroides var. kaenana,Plants,1,190790.2,1,9,2,2,1,0,1982,0,-0.1638258,-0.122832
Clarkia springvillensis,Plants,2,44929.09,1,8,2,2,2,0,42,0,-0.0820584,-0.1142096
Trillium reliquum,Plants,3,54801.66,1,8,2,2,2,1,49,0,-0.08186483,-0.0898124
Melicope adscendens,Plants,1,31332.13,1,5,3,1,2,0,49,0,-0.1638258,-0.122832
Poa siphonoglossa,Plants,1,1773.517,1,5,3,1,2,0,290,0,-0.1017319,-0.1222518
Melicope knudsenii,Plants,1,30859.19,1,5,3,1,2,0,49,0,-0.1638258,-0.122832
Echinacea tennesseensis,Plants,2,20484.12,NA,8,2,2,2,0,15,0,-0.07313313,-0.1171417
Scutellaria montana,Plants,4,58484.67,1,8,2,2,2,0,113,0,-0.1638258,-0.122832
Hedyotis coriacea,Plants,1,258462.9,1,2,3,2,2,0,6,0,-0.1638258,-0.122832
Castilleja campestris ssp. succulenta,Plants,2,24238.06,1,9,2,2,1,0,108,0,-0.1638258,-0.1209138
Thelypteris pilosa var. alabamensis,Plants,1,14779.31,1,9,2,2,1,0,63,1,-0.1638258,-0.1147018
Streptanthus albidus ssp. albidus,Plants,1,112537.9,1,3,3,2,1,1,36,0,-0.1638258,-0.1172623
