taxon,listed,status,ngram_science,ngram_common,ngenus,probs
Fishes,0,UNK,-0.0818219733119035,-0.0198952660269877,11,0
Fishes,0,UNK,0.160665941428213,-0.0206291543758671,9,0
Mammals,0,1,-0.100570058007039,-0.0206291543758671,4,0
Birds,0,5,0.974054918914268,0.0308121594099502,4,0
Birds,0,5,-0.110358633798239,-0.0206291543758671,13,0
Fishes,0,3,-0.0707726996976197,-0.0198147311965465,3,0
Birds,0,5,-0.0973442202304345,-0.0201506658722758,NA,0
Birds,0,5,1.06220984888731,0.0337307505125825,9,0
Mammals,1,2,1.70546243778072,0.093555487439549,1,0
Birds,0,5,0.520235156074773,0.0630580353335811,14,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,3,0
Invertebrates,0,1,-0.115371485388879,-0.0206291543758671,10,0
Plants,0,UNK,-0.115371485388879,-0.0206291543758671,NA,0
Invertebrates,0,5,-0.114792396601836,-0.0206291543758671,28,0
Reptiles,0,5,0.29367946962916,-0.0178867580822958,4,0
Invertebrates,0,5,-0.100713050086826,-0.0206291543758671,28,0
Mammals,0,1,-0.109486702389024,-0.0206291543758671,57,0
Birds,0,5,1.06488463090555,-0.0206291543758671,8,0
Birds,0,5,0.819332199094077,0.102948426710734,2,0
Fishes,0,3,-0.0710683601065804,-0.0206291543758671,88,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,4,0
Fishes,0,UNK,-0.0560208419364555,-0.020311854718571,1,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,15,0
Invertebrates,0,UNK,-0.110027479386762,-0.0206291543758671,17,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,15,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,15,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,15,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,15,0
Invertebrates,0,UNK,0.0763610677625373,-0.0206291543758671,7,0
Fishes,0,1,-0.103623860598361,-0.0201518986258954,9,0
Fishes,0,4,-0.0948984995533916,-0.017319178313544,8,0
Fishes,0,5,-0.0820042774512399,-0.018121443737122,11,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,4,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,2,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,55,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,86,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,105,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,105,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,3,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,31,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,31,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,31,0
Fungi,0,UNK,-0.115371485388879,-0.0206291543758671,26,0
Invertebrates,0,5,-0.115371485388879,-0.0206291543758671,5,0
Invertebrates,0,5,-0.0145932750746184,-0.0206291543758671,5,0
Fishes,0,UNK,0.135190227059358,-0.0143570455503787,2,0
Reptiles,0,3,0.389762215524298,-0.0145213435680297,44,0
Reptiles,0,5,0.551112672705915,-0.0181458224817372,44,0
Reptiles,0,1,-0.065046683993045,-0.0199011060722437,14,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,14,0
Mammals,0,2,-0.092953341690121,-0.0201141804175371,NA,0
Invertebrates,0,UNK,-0.0920985502442015,-0.0206291543758671,3,0
Birds,0,3,-0.108848317945943,-0.0206291543758671,NA,0
Birds,0,2,2.20421541823282,0.0434187460438884,19,0
Fishes,0,4,-0.0445968785199372,-0.0204967622262481,40,0
Amphibians,0,1,-0.0679696149136063,-0.0206291543758671,98,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,6,0
Mammals,0,UNK,-0.115371485388879,-0.0206291543758671,NA,0
Amphibians,0,5,-0.0694593561953193,-0.0202487734622107,59,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,130,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,130,0
Birds,0,5,0.414190232715597,0.013261506937847,28,0
Reptiles,0,4,-0.110117176999335,-0.0206291543758671,NA,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,130,0
Invertebrates,0,UNK,-0.0574988458903417,-0.0113772312939543,130,0
Birds,0,5,-0.0931539587515853,-0.0206291543758671,37,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,1,0
Fishes,0,4,-0.098534091840884,-0.0206291543758671,9,0
Mammals,0,Prob. Extinct,-0.115371485388879,-0.0206291543758671,10,0
Birds,0,5,0.310279075670243,-0.0206291543758671,11,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,14,0
Fishes,0,5,0.456325762154701,-0.0126773825499043,1,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,27,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,2,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,NA,0
Reptiles,0,3,-0.0460635779010027,-0.0206291543758671,1,0
Fishes,0,UNK,-0.0864372651191075,-0.0204131374294314,2,0
Invertebrates,0,UNK,-0.108145520355035,-0.0206291543758671,22,0
Birds,0,5,0.0706557999580854,-0.0206291543758671,13,0
Amphibians,0,2,0.134654014203219,-0.018249019634817,5,0
Fishes,0,UNK,-0.00645007286630331,-0.0206291543758671,13,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,8,0
Reptiles,0,1,-0.098144674555921907,-0.020395433184369,NA,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,4,0
Invertebrates,0,UNK,-0.106955235971269,-0.0206291543758671,4,0
Birds,0,4,0.397382530436167,-0.0206291543758671,3,0
Fishes,1,Extinct,-0.0832922646700832,-0.0205902332342166,43,0
Invertebrates,0,UNK,0.195479675108056,0.0289674314892462,14,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,19,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,19,0
Fishes,0,UNK,3.03231697404497,0.00138356782533553,5,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,9,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,13,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,13,0
Invertebrates,0,UNK,0.0628841596243953,-0.0206291543758671,11,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,144,0
Invertebrates,0,UNK,0.0545638724396006,-0.0156175790575409,144,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,144,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,144,0
Invertebrates,0,UNK,-0.0918890839701964,-0.0206291543758671,144,0
Fishes,0,UNK,-0.115371485388879,-0.0206291543758671,4,0
Invertebrates,0,UNK,-0.0804314176764928,-0.0206291543758671,144,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,144,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,144,0
Birds,0,3,0.141495371802784,-0.00822163848827719,9,0
Invertebrates,0,UNK,-0.0810562453363215,-0.0206291543758671,32,0
Invertebrates,0,UNK,-0.102923324047003,-0.0206291543758671,32,0
Birds,0,5,3.83847240843737,0.0513679618243465,2,0
Amphibians,0,4,0.0227337263666335,-0.0194227716552912,33,0
Fishes,0,UNK,-0.0100395819934528,-0.0194287051827029,1,0
Invertebrates,0,UNK,-0.109891919021336,-0.0206291543758671,6,0
Birds,0,5,-0.0611072342851196,-0.0146331977405451,15,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,11,0
Birds,0,3,-0.115371485388879,-0.0206291543758671,5,0
Fishes,0,5,1.0064491108148,-7.4435791569118e-4,20,0
Birds,0,2,0.136708002683704,-0.0206291543758671,2,0
Amphibians,0,5,-0.0931164911446023,-0.0113748121685185,24,0
Invertebrates,0,UNK,-0.0848577664079427,-0.0206291543758671,158,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,1,0
Mammals,0,UNK,0.516597334458848,-0.00701970717038328,9,0
Invertebrates,0,UNK,-0.0463298993729079,-0.0206291543758671,11,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,66,0
